Date,Open,High,Low,Close,Volume
14-Dec-15,202.07,203.05,199.95,202.90,178914452
11-Dec-15,203.35,204.14,201.51,201.88,211173305
10-Dec-15,205.42,207.43,205.14,205.87,116128884
9-Dec-15,206.19,208.68,204.18,205.34,162401537
8-Dec-15,206.49,208.29,205.78,206.95,103372367
7-Dec-15,209.23,209.73,207.20,208.35,102027111
4-Dec-15,206.08,209.97,205.93,209.62,192913879
3-Dec-15,208.83,209.15,204.75,205.61,166224154
2-Dec-15,210.62,211.00,208.23,208.53,107220116
1-Dec-15,209.44,210.82,209.11,210.68,97051205
30-Nov-15,209.75,209.89,208.56,208.69,110123708
27-Nov-15,209.43,209.80,208.86,209.56,37302577
25-Nov-15,209.50,209.74,209.01,209.32,51980062
24-Nov-15,207.87,209.83,207.41,209.35,97174300
23-Nov-15,209.38,209.98,208.52,209.07,63857028
20-Nov-15,209.45,210.12,208.86,209.31,92068633
19-Nov-15,208.59,209.05,208.20,208.55,83129793
18-Nov-15,206.04,208.90,205.99,208.73,115434210
17-Nov-15,205.99,207.04,204.88,205.47,115909699
16-Nov-15,202.32,205.69,202.18,205.62,115930080
13-Nov-15,204.35,204.67,202.44,202.54,150682357
12-Nov-15,206.50,207.06,204.82,204.84,118890536
11-Nov-15,208.88,208.94,207.66,207.67,67508433
10-Nov-15,207.51,208.60,207.19,208.56,74325478
9-Nov-15,209.31,209.49,206.95,208.08,126638839
6-Nov-15,209.74,210.32,208.46,210.04,108580729
5-Nov-15,210.43,210.98,209.09,210.15,76716253
4-Nov-15,211.35,211.50,209.72,210.36,95307983
3-Nov-15,209.97,211.66,209.70,211.00,94726690
2-Nov-15,208.32,210.62,208.17,210.33,83311007
30-Oct-15,209.06,209.44,207.74,207.93,130181307
29-Oct-15,208.35,209.27,208.21,208.83,85442289
28-Oct-15,207.00,208.98,206.21,208.94,134819531
27-Oct-15,206.20,207.00,205.79,206.57,75171862
26-Oct-15,207.30,207.37,206.56,206.99,68090390
23-Oct-15,207.25,207.95,206.30,207.51,141523333
22-Oct-15,202.98,205.51,201.85,205.26,168893359
21-Oct-15,203.61,203.79,201.65,201.85,100489757
20-Oct-15,202.85,203.84,202.55,203.11,76338239
19-Oct-15,202.50,203.37,202.13,203.32,74403014
16-Oct-15,202.83,203.29,201.92,203.27,111598761
15-Oct-15,200.08,202.36,199.64,202.29,129994847
14-Oct-15,200.18,200.87,198.94,199.29,97241068
13-Oct-15,200.65,202.16,200.05,200.25,86412301
12-Oct-15,201.42,201.76,200.91,201.52,55724977
9-Oct-15,201.38,201.90,200.58,201.33,103724868
8-Oct-15,198.95,201.55,198.59,201.21,148650429
7-Oct-15,198.90,199.82,197.48,199.41,122148056
6-Oct-15,198.31,198.98,197.00,197.81,108922460
5-Oct-15,196.46,198.74,196.33,198.47,123748244
2-Oct-15,189.77,195.03,189.12,195.00,207189030
1-Oct-15,192.08,192.49,189.82,192.16,128343552
30-Sep-15,190.37,191.82,189.44,191.63,157904505
29-Sep-15,188.27,189.74,186.93,188.12,152923805
28-Sep-15,191.78,191.91,187.64,188.01,159583396
25-Sep-15,194.64,195.00,191.81,192.86,146455318
24-Sep-15,192.15,193.45,190.56,192.93,155699704
23-Sep-15,194.11,194.67,192.91,193.60,91820194
22-Sep-15,193.88,194.46,192.56,193.90,143295383
21-Sep-15,196.44,197.68,195.21,196.46,102789474
18-Sep-15,195.71,198.68,194.96,195.36,215841130
17-Sep-15,200.02,202.89,199.28,199.73,261379872
16-Sep-15,198.82,200.41,198.41,200.18,96920964
15-Sep-15,196.61,198.99,195.96,198.46,109363010
14-Sep-15,196.95,197.01,195.43,196.01,76519092
11-Sep-15,195.38,196.82,194.53,196.81,111133368
10-Sep-15,194.56,197.22,194.25,195.85,151047966
9-Sep-15,199.32,199.47,194.35,194.79,143843485
8-Sep-15,195.94,197.61,195.17,197.46,111802406
4-Sep-15,192.85,193.86,191.61,192.56,189333425
3-Sep-15,196.26,198.05,194.96,195.65,149536844
2-Sep-15,194.62,195.46,192.42,195.36,155982590
1-Sep-15,193.12,194.77,190.73,191.92,245336268
31-Aug-15,198.11,199.12,197.01,197.54,154776440
28-Aug-15,198.50,199.84,197.92,199.24,145039278
27-Aug-15,197.02,199.42,195.21,199.16,268793727
26-Aug-15,192.08,194.79,188.37,194.68,330022191
25-Aug-15,195.43,195.45,186.92,187.23,359334559
24-Aug-15,187.49,197.48,182.40,189.55,484852614
21-Aug-15,201.73,203.94,197.52,197.63,335775082
20-Aug-15,206.51,208.29,203.90,204.01,188596312
19-Aug-15,209.09,210.01,207.35,208.32,172945975
18-Aug-15,210.26,210.68,209.70,209.98,71692678
17-Aug-15,208.71,210.59,208.16,210.59,79072643
14-Aug-15,208.43,209.51,208.26,209.42,72786528
13-Aug-15,208.73,209.55,208.01,208.66,89383253
12-Aug-15,207.11,209.14,205.36,208.92,172123672
11-Aug-15,208.97,209.47,207.76,208.67,126081377
10-Aug-15,209.28,210.67,209.28,210.57,80270676
7-Aug-15,208.16,208.34,206.87,207.95,117857956
6-Aug-15,210.29,210.42,207.65,208.35,116030803
5-Aug-15,210.45,211.31,209.73,210.07,85786817
4-Aug-15,209.70,210.25,208.80,209.38,81820823
3-Aug-15,210.46,210.53,208.65,209.79,113965728
